Location,Title,Company,Url
"Monterrey, Nuevo León, Mexico",Databricks Engineer with LookML,Enroute,https://mx.linkedin.com/jobs/view/databricks-engineer-with-lookml-at-enroute-3940996756?position=1&pageNum=4&refId=snx7R1R9aEbQO8wVhlffvA%3D%3D&trackingId=JWMU00aqEG1JxLrcwqsefA%3D%3D&trk=public_jobs_jserp-result_search-card
"Monterrey, Nuevo León, Mexico",Software Developer,Dematic,https://mx.linkedin.com/jobs/view/software-developer-at-dematic-3994301727?position=2&pageNum=4&refId=snx7R1R9aEbQO8wVhlffvA%3D%3D&trackingId=Hmx13ZkMXCt0Xmx1Uz0O4Q%3D%3D&trk=public_jobs_jserp-result_search-card
"Garza García, Nuevo León, Mexico",Web / VR Developer,Powertrain Ventures,https://mx.linkedin.com/jobs/view/web-vr-developer-at-powertrain-ventures-3986130327?position=3&pageNum=4&refId=snx7R1R9aEbQO8wVhlffvA%3D%3D&trackingId=lxq5iXk6J%2BwTjI%2BUfdZB4g%3D%3D&trk=public_jobs_jserp-result_search-card
"Monterrey, Nuevo León, Mexico",Software Engineer - Python - Ubuntu Pro client - graduate level,Canonical,https://mx.linkedin.com/jobs/view/software-engineer-python-ubuntu-pro-client-graduate-level-at-canonical-3959705714?position=4&pageNum=4&refId=snx7R1R9aEbQO8wVhlffvA%3D%3D&trackingId=jMu0Yqpqc9QlQ63213qkbQ%3D%3D&trk=public_jobs_jserp-result_search-card
"Monterrey, Nuevo León, Mexico",Analista de Datos,Tecnológico de Monterrey,https://mx.linkedin.com/jobs/view/analista-de-datos-at-tecnol%C3%B3gico-de-monterrey-4001889591?position=5&pageNum=4&refId=snx7R1R9aEbQO8wVhlffvA%3D%3D&trackingId=3j6GkqvyPr5WXMSyeQvFpA%3D%3D&trk=public_jobs_jserp-result_search-card
"Monterrey, Nuevo León, Mexico",Desarrollador Fullstack,Tecnológico de Monterrey,https://mx.linkedin.com/jobs/view/desarrollador-fullstack-at-tecnol%C3%B3gico-de-monterrey-3989558437?position=6&pageNum=4&refId=snx7R1R9aEbQO8wVhlffvA%3D%3D&trackingId=PsXNUtIgzj7j2OAR7iUtgw%3D%3D&trk=public_jobs_jserp-result_search-card
"Monterrey, Nuevo León, Mexico",Desarrollo Fullstack,sinCarbono,https://mx.linkedin.com/jobs/view/desarrollo-fullstack-at-sincarbono-3928911869?position=7&pageNum=4&refId=snx7R1R9aEbQO8wVhlffvA%3D%3D&trackingId=jZZX9Gx%2BuE9FCsSd5Q6Qqg%3D%3D&trk=public_jobs_jserp-result_search-card
"Monterrey, Nuevo León, Mexico",Front End Developer,HCLTech,https://mx.linkedin.com/jobs/view/front-end-developer-at-hcltech-3991784218?position=8&pageNum=4&refId=snx7R1R9aEbQO8wVhlffvA%3D%3D&trackingId=GX27KsE3DHOzL983Fa4WtA%3D%3D&trk=public_jobs_jserp-result_search-card
"Monterrey, Nuevo León, Mexico",Postdoc Researcher,Tecnológico de Monterrey,https://mx.linkedin.com/jobs/view/postdoc-researcher-at-tecnol%C3%B3gico-de-monterrey-4000599712?position=9&pageNum=4&refId=snx7R1R9aEbQO8wVhlffvA%3D%3D&trackingId=X9%2F6W%2BFJaCyjdMOraQiDtA%3D%3D&trk=public_jobs_jserp-result_search-card
"San Pedro Garza García, Nuevo León, Mexico",Ingeniero de Software (Python/Java Engineer),Azkait,https://mx.linkedin.com/jobs/view/ingeniero-de-software-python-java-engineer-at-azkait-3911361226?position=10&pageNum=4&refId=snx7R1R9aEbQO8wVhlffvA%3D%3D&trackingId=jS2ZCr6OJCr7LpI4D6OE0A%3D%3D&trk=public_jobs_jserp-result_search-card
